"TowerHeight","NumShoes","TVALUE","Attempt","betf.rate","crtv.rate","Category","CountryCode","Country","Gender_code","OccupationCode","Occupation_description","Score","Gender","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Occupation_Category"
"27","1","27",5,"4","8","Gladiolus ST",84," Italy",0,8,"Computer or mathematical",56,"Female",6,8,6,3,4,7,8,3,4,7,"Management/Professional"
"80","7","11.4285714285714",5,"5","4","Unknown",65," Germany",1,1,"Management: professional or related occupations",34,"Male",1,2,8,2,2,5,3,3,1,7,"Management/Professional"
"110","22","5",5,"7","3","Pyramid ST",78," India",0,1,"Management: professional or related occupations",49,"Female",4,4,7,7,5,5,5,2,5,5,"Management/Professional"
"59","5","11.8",5,"5","8","Gladiolus ST",163," Spain",1,9,"Architects, surveyors, cartographers, or engineers",46,"Male",5,8,1,1,8,3,2,9,1,8,"Engineering"
"73.5","14","5.25",5,"1","5","Brick Wall ST",187," United States of America",1,8,"Computer or mathematical",37,"Male",1,4,3,5,2,8,1,3,2,8,"Management/Professional"
"35","4","8.75",5,"1","5","Gladiolus ST",185," United Kingdom of Great Britain and Northern I",0,11,"Life, physical, or social science",78,"Female",6,8,6,9,8,9,8,9,7,8,"Science"
"75","6","12.5",5,"2","8","Gladiolus ST",9," Australia",1,2,"Management: business or  financial operations occupations",53,"Male",5,5,8,4,8,8,3,2,3,7,"Management/Professional"
"90","8","11.25",5,"5","9","Bridge ST",163," Spain",0,8,"Computer or mathematical",70,"Female",7,9,9,2,9,9,2,9,5,9,"Management/Professional"
"144","26","5.53846153846154",5,"7","7","Brick Wall ST",123," New Zealand",0,9,"Architects, surveyors, cartographers, or engineers",67,"Female",8,8,3,7,9,8,7,5,5,7,"Engineering"
"62","10","6.2",5,"4","9","Brick Wall ST",78," India",0,14,"Education, training, or library",46,"Female",7,5,3,2,5,6,2,8,3,5,"Education/Training"
"81","22","3.68181818181818",5,"6","9","Pile ST",78," India",1,15,"Arts, design, entertainment, sports, or media",79,"Male",9,8,8,7,9,8,9,3,9,9,"Arts Design Sports Media"
"82.5","22","3.75",5,"8","8","Brick Wall ST",111," Mexico",0,8,"Computer or mathematical",60,"Female",7,7,3,9,7,7,3,5,5,7,"Management/Professional"
"99","13","7.61538461538461",5,"7","6","Pyramid ST",163," Spain",0,19,"Fire fighting, prevention or law enforcement workers, (including supervisors)",48,"Female",7,2,7,6,8,2,1,2,8,5,"Services"
"65","8","8.125",5,"7","7","Pyramid ST",187," United States of America",0,9,"Drafters, engineering, or mapping technicians",50,"Female",6,6,4,1,7,6,7,2,5,6,"Engineering"
"127","41","3.09756097560976",5,"7.5","8","Pyramid ST",9," Australia",1,15,"Arts, design, entertainment, sports, or media",77,"Male",9,7,8,8,8,9,3,8,8,9,"Arts Design Sports Media"
"78","14","5.57142857142857",5,"7.5","5","Pyramid ST",10," Austria",1,11,"Life, physical, or social science",53,"Male",2,5,7,5,7,6,2,7,5,7,"Science"
"62","5","12.4",5,"7","10","Brick Wall ST",84," Italy",1,15,"Arts, design, entertainment, sports, or media",74,"Male",9,8,9,7,9,7,9,8,3,5,"Arts Design Sports Media"
"63","14","4.5",5,"5","9","Brick Wall ST",31," Canada",0,1,"Management: professional or related occupations",31,"Female",2,2,7,2,4,4,3,2,2,3,"Management/Professional"
"80","23","3.47826086956522",5,"10","4","Brick Wall ST",135," Peru",0,8,"Computer or mathematical",54,"Female",4,1,7,3,5,9,1,8,8,8,"Management/Professional"
"91","12","7.58333333333333",5,"5","6","Bridge ST",9," Australia",1,2,"Management: business or  financial operations occupations",37,"Male",1,3,5,3,5,5,3,3,4,5,"Management/Professional"
"30","20","1.5",5,"8","8","Brick Wall ST",85," Jamaica",1,11,"Life, physical, or social science",38,"Male",1,5,3,1,3,5,5,9,1,5,"Science"
"48","4","12",5,"8","6","Gladiolus ST",11," Azerbaijan",0,31,"Production",42,"Female",3,7,1,2,7,8,1,1,3,9,"Services"
"72","8","9",5,"8","1","Pyramid ST",36," China",1,9,"Architects, surveyors, cartographers, or engineers",39,"Male",1,8,1,5,2,3,7,1,9,2,"Engineering"
"98","22","4.45454545454545",5,"3","5","Brick Wall ST",86," Japan",0,14,"Education, training, or library",61,"Female",9,8,8,3,5,8,2,7,2,9,"Education/Training"
"68","24","2.83333333333333",5,"5","4","Brick Wall ST",138," Portugal",1,11,"Life, physical, or social science",38,"Male",2,4,1,7,6,4,1,5,3,5,"Science"
"55","12","4.58333333333333",5,"8","5","Brick Wall ST",36," China",0,36,"Material moving",34,"Female",3,3,2,2,3,3,7,3,5,3,"Services"
"60","22","2.72727272727273",5,"8","4","Brick Wall ST",78," India",0,18,"Health care support",54,"Female",3,3,7,7,7,7,5,3,7,5,"Health"
"100","20","5",5,"7","7","Brick Wall ST",136," Philippines",0,9,"Architects, surveyors, cartographers, or engineers",51,"Female",8,5,7,2,8,5,4,3,3,6,"Engineering"
"95","20","4.75",5,"7","6","Pyramid ST + Gladiolus ST",121," Nepal",0,9,"Architects, surveyors, cartographers, or engineers",41,"Female",3,4,2,2,8,3,2,8,3,6,"Engineering"
"107","24","4.45833333333333",5,"6","7","Pyramid ST",168," Sweden",1,15,"Arts, design, entertainment, sports, or media",76,"Male",7,7,8,3,9,9,6,9,9,9,"Arts Design Sports Media"
"76","22","3.45454545454545",5,"8","7","Unknown",111," Mexico",0,15,"Arts, design, entertainment, sports, or media",50,"Female",5,5,5,5,5,5,5,5,5,5,"Arts Design Sports Media"
"46","12","3.83333333333333",5,"7","7","Brick Wall ST",126," Nigeria",0,30,"Installation, maintenance, or repair occupations",30,"Female",2,5,9,1,5,2,2,1,1,2,"Services"
"70","10","7",5,"7","6","Pyramid ST",61," France",1,20,"Other protective service workers (including supervisors)",53,"Male",3,1,9,7,7,8,2,8,3,5,"Services"
"230","171","1.34502923976608",5,"9","1","Floor ST",24," Brazil",0,24,"Sales or related occupations",59,"Female",7,7,2,2,8,8,3,7,7,8,"Services"
"65","7","9.28571428571429",5,"5","8","Gladiolus ST",185," United Kingdom of Great Britain and Northern I",1,24,"Sales or related occupations",66,"Male",6,4,8,3,7,7,7,8,9,7,"Services"
"4.5","14","0.321428571428571",5,"4","1","Brick Wall ST",86," Japan",1,15,"Arts, design, entertainment, sports, or media",42,"Male",3,6,1,7,5,3,4,3,7,3,"Arts Design Sports Media"
"63","30","2.1",5,"8","5","Brick Wall ST",130," Pakistan",1,14,"Education, training, or library",43,"Male",6,5,4,3,3,5,3,4,5,5,"Education/Training"
"54","9","6",5,"6","4","Pyramid ST",36," China",0,14,"Education, training, or library",36,"Female",2,8,3,2,2,8,2,3,3,3,"Education/Training"
"75","23","3.26086956521739",5,"7","6","Pyramid ST",161," South Africa",1,15,"Arts, design, entertainment, sports, or media",66,"Male",9,7,6,9,6,3,7,8,3,8,"Arts Design Sports Media"
"6.5","30","0.216666666666667",5,"5","7","Pyramid ST",187," United States of America",1,10,"Drafters, engineering, or mapping technicians",31,"Male",2,5,1,1,5,1,2,3,7,4,"Engineering"
"48","8","6",5,"5","7","Brick Wall ST",179," Turkey",0,1,"Management: professional or related occupations",52,"Female",6,3,3,2,8,8,7,2,5,8,"Management/Professional"
"46","10","4.6",1,"1","1","Pyramid ST",122," Netherlands",1,21,"Food preparation or serving-related",62,"Male",8,8,5,3,7,8,9,1,5,8,"Services"
"79.5","11","7.22727272727273",5,"7","10","Pyramid ST + Gladiolus ST",36," China",0,11,"Life, physical, or social science",57,"Female",1,3,2,7,8,9,2,9,8,8,"Science"
"103","34","3.02941176470588",5,"7","5","Pyramid ST",84," Italy",0,2,"Management: business or  financial operations occupations",40,"Female",3,3,5,3,5,5,3,3,3,7,"Management/Professional"
"67","10","6.7",5,"1","5","Brick Wall ST",9," Australia",1,1,"Management: professional or related occupations",55,"Male",9,5,8,8,3,3,8,1,5,5,"Management/Professional"
"60","15","4",5,"6","6","Brick Wall ST",111," Mexico",1,16,"Health diagnosing or treating practitioners & technical occupations",51,"Male",7,7,8,3,3,2,3,2,8,8,"Health"
"35","34","1.02941176470588",5,"5","3","Pyramid ST",88," Kazakhstan",1,14,"Education, training, or library",47,"Male",5,5,7,5,5,5,5,2,5,3,"Education/Training"
"35","15","2.33333333333333",5,"10","4","Pyramid ST",138," Portugal",0,8,"Computer or mathematical",66,"Female",8,4,9,7,5,7,7,5,7,7,"Management/Professional"
"65","20","3.25",5,"5","5","Pyramid ST",158," Slovenia",1,24,"Sales or related occupations",63,"Male",5,8,9,1,5,9,7,9,2,8,"Services"
"68","7","9.71428571428571",5,"4","1","Gladiolus ST",9," Australia",0,1,"Management: professional or related occupations",36,"Female",3,3,1,4,3,5,3,4,5,5,"Management/Professional"
"103","44","2.34090909090909",5,"7","6","Pyramid ST",57," Estonia",1,2,"Management: business or  financial operations occupations",50,"Male",7,7,2,2,5,8,5,3,3,8,"Management/Professional"
"65","10","6.5",5,"6","5","Bridge ST",137," Poland",1,14,"Education, training, or library",58,"Male",2,5,7,5,7,5,8,5,5,9,"Education/Training"
"170","18","9.44444444444444",5,"6","8","Unknown",36," China",0,14,"Education, training, or library",59,"Female",1,9,7,8,8,1,7,8,3,7,"Education/Training"
"75","27","2.77777777777778",5,"9","3","Pyramid ST",48," Denmark",1,14,"Education, training, or library",28,"Male",3,3,1,3,5,7,2,1,1,2,"Education/Training"
"85","6","14.1666666666667",5,"5","9","Pyramid ST",83," Israel",0,4,"Farmers and farm managers",78,"Female",7,5,9,8,8,9,7,8,8,9,"Services"
"83","28","2.96428571428571",5,"4","8","Brick Wall ST",9," Australia",1,1,"Management: professional or related occupations",63,"Male",3,3,8,8,7,8,3,8,7,8,"Management/Professional"
"60","14","4.28571428571429",5,"8","8","Bridge ST",24," Brazil",0,14,"Education, training, or library",56,"Female",1,3,9,9,8,6,5,7,1,7,"Education/Training"
"102","19","5.36842105263158",5,"5","6","Unknown",78," India",0,24,"Sales or related occupations",53,"Female",5,7,8,3,7,6,2,5,7,3,"Services"
"64","8","8",5,"8","7","Pyramid ST + Gladiolus ST",154," Seychelles",1,2,"Management: business or  financial operations occupations",46,"Male",5,5,4,1,1,9,4,1,9,7,"Management/Professional"
"84","23","3.65217391304348",5,"6","4","Brick Wall ST",78," India",0,8,"Computer or mathematical",33,"Female",1,7,3,7,3,3,2,2,2,3,"Management/Professional"
"66","16","4.125",5,"8","7","Brick Wall ST",163," Spain",1,14,"Education, training, or library",38,"Male",4,2,4,1,5,5,2,5,2,8,"Education/Training"
"176.6","38","4.64736842105263",50,"7","7","Unknown",36," China",0,9,"Architects, surveyors, cartographers, or engineers",46,"Female",6,3,2,3,7,8,1,6,3,7,"Engineering"
"73","23","3.17391304347826",6,"7","8","Pyramid ST",9," Australia",1,1,"Management: professional or related occupations",65,"Male",5,9,7,7,9,8,3,3,5,9,"Management/Professional"
"84","28","3",6,"8","6","Brick Wall ST",191," Venezuela, Bolivarian Republic of...",0,9,"Architects, surveyors, cartographers, or engineers",64,"Female",7,3,6,7,5,9,7,9,3,8,"Engineering"
"160","24","6.66666666666667",6,"8","3","Pyramid ST",187," United States of America",1,12,"Community and social services",34,"Male",2,3,4,6,3,4,3,2,3,4,"Services"
"85","12","7.08333333333333",6,"3","8","Gladiolus ST",36," China",1,6,"Education, training, or library",36,"Male",2,1,7,6,5,2,6,1,3,3,"Education/Training"
"74.2","10","7.42",6,"6","4","Bridge ST",156," Singapore",0,8,"Computer or mathematical",72,"Female",8,9,8,8,8,7,3,7,7,7,"Management/Professional"
"70","4","17.5",6,"3","1","Pyramid ST",185," United Kingdom of Great Britain and Northern I",0,1,"Management: professional or related occupations",63,"Female",8,7,8,2,8,8,8,3,3,8,"Management/Professional"
"67","18","3.72222222222222",6,"4","5","Brick Wall ST",9," Australia",0,15,"Arts, design, entertainment, sports, or media",42,"Female",4,3,2,6,3,3,3,8,5,5,"Arts Design Sports Media"
"81","12","6.75",6,"7","6","Brick Wall ST",36," China",0,15,"Arts, design, entertainment, sports, or media",51,"Female",1,5,8,1,7,5,7,3,5,9,"Arts Design Sports Media"
"48","41","1.17073170731707",6,"6","5","Brick Wall ST",9," Australia",0,2,"Management: business or  financial operations occupations",52,"Female",1,8,8,1,7,8,7,1,2,9,"Management/Professional"
"67","12","5.58333333333333",6,"6","6","Brick Wall ST",36," China",1,17,"Health technologists or technicians",45,"Male",2,3,9,7,2,5,6,8,2,1,"Health"
"78","48","1.625",6,"7","7","Brick Wall ST",78," India",0,12,"Community and social services",47,"Female",4,4,3,5,4,6,4,6,5,6,"Services"
"64","17","3.76470588235294",6,"7","6","Unknown",17," Belgium",0,2,"Management: business or  financial operations occupations",50,"Female",1,9,2,8,2,8,2,9,2,7,"Management/Professional"
"83","7","11.8571428571429",6,"9","6","Pyramid ST",185," United Kingdom of Great Britain and Northern I",1,15,"Arts, design, entertainment, sports, or media",50,"Male",3,9,5,7,3,5,7,1,5,5,"Arts Design Sports Media"
"62","8","7.75",6,"5","3","Gladiolus ST",187," United States of America",0,11,"Life, physical, or social science",32,"Female",3,3,5,3,1,3,1,1,9,3,"Science"
"100","7","14.2857142857143",6,"6","5","Bridge ST",61," France",0,5,"Business and financial operations",51,"Female",3,5,5,6,6,7,3,6,4,6,"Management/Professional"
"110","22","5",6,"6","6","Brick Wall ST",61," France",1,1,"Management: professional or related occupations",40,"Male",2,4,7,3,4,3,2,6,4,5,"Management/Professional"
"88","14","6.28571428571429",6,"8","8","Unknown",21," Bolivia",0,15,"Arts, design, entertainment, sports, or media",65,"Female",5,9,9,8,8,7,2,2,7,8,"Arts Design Sports Media"
"68.6","20","3.43",6,"7","6","Pyramid ST",31," Canada",1,15,"Arts, design, entertainment, sports, or media",34,"Male",4,6,2,4,8,2,3,2,1,2,"Arts Design Sports Media"
"42.8","4","10.7",6,"6","7","Gladiolus ST",78," India",0,8,"Computer or mathematical",64,"Female",6,5,9,7,5,6,7,8,5,6,"Management/Professional"
"81.7","7","11.6714285714286",6,"8","6","Gladiolus ST",187," United States of America",1,24,"Sales or related occupations",49,"Male",4,3,8,7,2,5,4,7,5,4,"Services"
"112","56","2",6,"1","6","Unknown",31," Canada",1,23,"Personal care or service",72,"Male",8,7,9,8,8,8,7,2,7,8,"Health"
"87","11","7.90909090909091",6,"8","9","Brick Wall ST",187," United States of America",0,13,"Legal",24,"Female",1,1,1,3,2,3,8,1,2,2,"Management/Professional"
"83","18","4.61111111111111",6,"7","8","Pyramid ST",185," United Kingdom of Great Britain and Northern I",1,14,"Education, training, or library",54,"Male",5,5,8,8,4,5,1,8,5,5,"Education/Training"
"59","17","3.47058823529412",10,"7","6","Pyramid ST",185," United Kingdom of Great Britain and Northern I",0,13,"Legal",41,"Female",7,5,7,3,3,5,4,1,3,3,"Management/Professional"
"101","47","2.14893617021277",6,"3","4","Pyramid ST",162," South Korea",0,14,"Education, training, or library",68,"Female",3,8,9,7,6,8,9,3,7,8,"Education/Training"
"65","16","4.0625",6,"8","7","Pyramid ST",17," Belgium",1,6,"Business operations specialists",58,"Male",1,8,9,3,5,9,9,1,6,7,"Management/Professional"
"114","29","3.93103448275862",6,"7","6","Brick Wall ST",163," Spain",0,10,"Drafters, engineering, or mapping technicians",54,"Female",2,5,2,8,7,8,7,2,5,8,"Engineering"
"75","20","3.75",6,"1","2","Pyramid ST",161," South Africa",1,15,"Arts, design, entertainment, sports, or media",23,"Male",2,2,1,6,2,2,2,2,2,2,"Arts Design Sports Media"
"104","43","2.41860465116279",6,"9","9","Brick Wall ST",191," Venezuela, Bolivarian Republic of...",1,8,"Computer or mathematical",45,"Male",3,6,5,5,5,4,2,5,4,6,"Management/Professional"
"85","14","6.07142857142857",6,"7","7","Brick Wall ST",31," Canada",0,5,"Business and financial operations",42,"Female",5,4,8,3,5,5,3,3,2,4,"Management/Professional"
"104","24","4.33333333333333",6,"7","6","Brick Wall ST",187," United States of America",0,24,"Sales or related occupations",53,"Female",3,9,2,8,8,3,3,9,1,7,"Services"
"65","12","5.41666666666667",6,"5","6","Pyramid ST + Gladiolus ST",36," China",0,8,"Computer or mathematical",24,"Female",4,1,1,3,1,2,5,1,1,5,"Management/Professional"
"9.75","8","1.21875",6,"4","4","Gladiolus ST",168," Sweden",0,2,"Management: business or  financial operations occupations",67,"Female",4,5,8,4,9,9,6,4,9,9,"Management/Professional"
"105","4","26.25",1,"8","5","Brick Wall ST",31," Canada",1,25,"Office or administrative support",62,"Male",9,9,9,5,9,9,1,1,1,9,"Management/Professional"
"90","10","9",100,"7","8","Bridge ST",65," Germany",0,8,"Computer or mathematical",52,"Female",2,5,7,3,7,6,5,5,5,7,"Management/Professional"
"40","22","1.81818181818182",6,"6","7","Pile ST",185," United Kingdom of Great Britain and Northern I",1,5,"Business and financial operations",47,"Male",1,2,7,7,5,6,6,2,3,8,"Management/Professional"
"34.8","7","4.97142857142857",6,"6","5","Brick Wall ST",36," China",1,14,"Education, training, or library",48,"Male",3,5,1,3,8,3,8,9,3,5,"Education/Training"
"99","14","7.07142857142857",6,"8","9","Unknown",156," Singapore",0,1,"Management: professional or related occupations",39,"Female",3,4,4,2,3,7,6,2,4,4,"Management/Professional"
"80.77","17","4.75117647058824",6,"9","5","Pyramid ST",36," China",1,2,"Management: business or  financial operations occupations",39,"Male",1,3,8,2,4,2,7,2,5,5,"Management/Professional"
"66","12","5.5",6,"10","10","Pyramid ST + Gladiolus ST",45," Czech Republic",1,25,"Office or administrative support",57,"Male",5,7,5,8,8,3,8,7,3,3,"Management/Professional"
"60","24","2.5",6,"8","8","Pyramid ST",84," Italy",0,14,"Education, training, or library",76,"Female",7,9,9,5,9,7,9,7,5,9,"Education/Training"
"78","15","5.2",6,"7","6","Gladiolus ST",36," China",1,5,"Business and financial operations",50,"Male",2,8,7,8,7,2,2,3,5,6,"Management/Professional"
